supplier_id,company_name,country,city,product_category,unit,current_stock,max_capacity_monthly,unit_price_inr,lead_time_days,minimum_order_quantity,cold_chain_capable,temperature_range,quality_certifications,cdsco_approved,gmp_certified,reliability_score,on_time_delivery_rate,api_purity,batch_release_time,payment_terms,credit_rating,political_risk,contact_email,phone,business_hours,emergency_supply_available,contract_manufacturing,regulatory_filing_support
PHARM-0013,Horne and Sons Biotech,Bangladesh,Perezland,Oncology Drugs,doses,2728,7678,8917.85,16,10000,False,15-25°C,TGA Australia,True,False,89.5,96.4,N/A,N/A,Net 60,A,High,gilbert71@mccann-brown.biz,+1-976-671-3907,24/7 (international),False,False,True
PHARM-0014,Brown-Thomas Healthcare,China,Lake Natalie,Oncology Drugs,doses,9818,20216,6281.56,15,10000,True,2-8°C,"WHO-GMP, ISO 13485",False,True,85.9,75.2,N/A,N/A,Net 30,AAA,High,mturner@norris.org,9348972228,24/7 (international),False,False,True
PHARM-0015,Bennett PLC Life Sciences,France,Richfurt,Finished Antibiotics,units,69461,107509,50.92,22,5000,False,15-25°C,CDSCO Approved,True,True,75.7,81.6,N/A,N/A,LC at sight,BBB,Low,carla53@lewis.com,(412)686-8776x838,24/7 (international),False,False,False
PHARM-0016,Carpenter and Sons Pharma,Ireland,New Evelyn,Oncology Drugs,doses,4816,9545,49588.23,36,10000,False,15-25°C,ISO 13485,True,False,71.7,97.7,N/A,N/A,Net 30,AAA,Low,seanmendez@gonzalez.com,423.275.0189x814,24/7 (international),True,False,False
PHARM-0017,"Gutierrez, Hunter and Smith Biotech",Bangladesh,Port Willieshire,Finished Cardiac Drugs,units,71035,196881,55.22,15,10000,False,15-25°C,"MHRA UK, TGA Australia",False,True,82.6,87.2,N/A,N/A,Advance payment,AAA,High,robertschristine@robertson.org,(318)798-2485x3012,24/7 (international),False,True,False
PHARM-0018,Lee Ltd Biotech,Belgium,Haneyberg,Cold Chain Logistics Services,service,0,0,44.35,41,0,False,15-25°C,WHO-GMP,False,True,80.8,85.5,N/A,N/A,Advance payment,BBB,Medium,paige14@benson.com,001-491-899-6039,24/7 (international),False,False,True
PHARM-0019,Munoz LLC Laboratories,Israel,Hugheshaven,Finished Cardiac Drugs,units,124529,371526,94.61,33,10000,True,2-8°C,"US-FDA Approved, CDSCO Approved",False,False,89.3,79.3,N/A,N/A,Advance payment,AA,High,qreyes@king.biz,(775)666-5387x427,24/7 (international),True,False,True
PHARM-0020,Young-Williams Biotech,Israel,North Angie,Active Pharmaceutical Ingredients (API),kg,82705,237990,1816.9,43,5000,True,2-8°C,MHRA UK,True,True,91.5,87.9,99.2%,7 days,Advance payment,BBB,High,kristinguyen@vazquez.com,+1-796-264-9425x4930,24/7 (international),True,False,False
PHARM-0021,"Le, Martin and Tucker Life Sciences",UK,Lindaside,Vaccines,doses,8791,17845,402.41,32,5000,True,2-8°C,"EU-GMP, MHRA UK",True,True,72.8,78.9,N/A,N/A,LC at sight,A,Low,debbiehammond@adams.com,(870)904-8401x00036,24/7 (international),False,False,False
PHARM-0022,"Burgess, Oneal and Waller Life Sciences",Germany,Port Krystalport,Pain Relief Medications,units,499028,1137237,1.37,44,10000,False,15-25°C,"US-FDA Approved, MHRA UK, CDSCO Approved",False,True,70.3,95.2,N/A,N/A,Net 30,BBB,Low,robert25@vance.info,+1-259-977-0739,24/7 (international),False,False,True
PHARM-0023,White-Peterson Healthcare,China,Coopermouth,Active Pharmaceutical Ingredients (API),kg,87674,139858,2022.72,15,10000,True,2-8°C,"MHRA UK, WHO-GMP",True,True,97.4,84.2,99.1%,5 days,Net 30,A,Medium,yolandavasquez@garcia-love.com,(865)892-1738,24/7 (international),False,False,False
PHARM-0024,"Collier, Rivera and Gilbert Biotech",Bangladesh,Lake Paulaborough,Finished Antibiotics,units,246318,520620,30.33,13,10000,False,15-25°C,"TGA Australia, US-FDA Approved",True,False,72.8,75.1,N/A,N/A,Net 30,AAA,Low,yschmidt@mcdonald.com,+1-780-833-9558x06685,24/7 (international),True,True,True
PHARM-0025,Hayes-Bates Biotech,China,Taylorfort,Generic Essential Drugs,units,410135,759871,7.65,16,10000,True,2-8°C,"EU-GMP, WHO-GMP",False,True,97.1,91.5,N/A,N/A,Net 60,AAA,High,anachavez@hale-cummings.net,(533)788-9413x33310,24/7 (international),True,False,True
PHARM-0026,Dunlap and Sons Healthcare,China,East Sheila,Finished Cardiac Drugs,units,63119,176837,62.59,22,500,True,2-8°C,"CDSCO Approved, TGA Australia",True,False,88.9,78.6,N/A,N/A,Advance payment,AA,High,daniel73@osborne.org,759-443-3348x8468,24/7 (international),False,False,False
PHARM-0027,Brooks PLC Laboratories,China,Ashleyport,Vaccines,doses,2304,3906,355.53,18,5000,True,2-8°C,"TGA Australia, MHRA UK",True,True,93.4,94.4,N/A,N/A,Advance payment,AAA,High,curtisdevin@williams.org,481.919.6552x3199,24/7 (international),True,False,True
PHARM-0028,"Brown, Ray and Olson Life Sciences",India,Lynnland,Pain Relief Medications,units,444310,961071,19.92,9,1000,True,2-8°C,"US-FDA Approved, MHRA UK",True,False,92.7,85.2,N/A,N/A,Net 60,AAA,Low,laraharold@dixon-thomas.com,+1-606-750-5659,9 AM - 6 PM IST,True,False,False
PHARM-0029,"Harrison, Lopez and Ayers Life Sciences",Israel,South Mary,Oncology Drugs,doses,5543,10138,42356.48,38,500,True,2-8°C,"CDSCO Approved, US-FDA Approved",True,False,86.3,84.9,N/A,N/A,Net 45,A,High,parkeredward@johnson.org,001-221-552-1835x2453,24/7 (international),False,False,False
PHARM-0030,Peterson LLC Life Sciences,UK,Martinezland,Pain Relief Medications,units,327309,747291,17.3,22,5000,False,15-25°C,"CDSCO Approved, WHO-GMP",True,False,70.2,91.3,N/A,N/A,Net 30,A,Low,taylorsarah@mullins-bautista.biz,(323)791-2964,24/7 (international),True,False,False
PHARM-0031,Pineda-Bishop Life Sciences,Belgium,South Seanville,Oncology Drugs,doses,5180,10058,40772.22,22,500,False,15-25°C,MHRA UK,True,False,71.1,83.4,N/A,N/A,Advance payment,A,Medium,smithlinda@lin.com,(692)886-1873x485,24/7 (international),False,False,True
PHARM-0032,"Dillon, Mccarthy and Warner Healthcare",Ireland,Banksmouth,Active Pharmaceutical Ingredients (API),kg,45885,74098,1963.67,26,5000,False,15-25°C,"ISO 13485, TGA Australia",False,True,71.4,82.5,99.3%,3 days,Advance payment,BBB,High,snunez@brown-brown.biz,001-509-386-3618x92321,24/7 (international),False,False,True
PHARM-0033,Graves-Parks Healthcare,Switzerland,Hensonmouth,Cold Chain Logistics Services,service,0,0,18.76,25,0,False,15-25°C,"EU-GMP, TGA Australia, MHRA UK",True,True,94.6,87.0,N/A,N/A,Net 45,BBB,Low,lisarodriguez@mcgee.net,(345)820-9751x769,24/7 (international),False,False,False
PHARM-0034,"Bryant, Barrera and Lopez Biotech",South Korea,Wilsonport,Finished Antibiotics,units,110499,289736,38.09,34,1000,True,2-8°C,"US-FDA Approved, EU-GMP",True,True,72.4,83.1,N/A,N/A,Net 30,AA,Low,gregory59@stewart-cook.info,5756367599,24/7 (international),False,False,True
PHARM-0035,"Roberson, Newman and Fuentes Life Sciences",Germany,Lake Tanyabury,Pain Relief Medications,units,95632,251727,15.62,35,500,True,2-8°C,"TGA Australia, CDSCO Approved, WHO-GMP",False,True,94.0,84.8,N/A,N/A,Advance payment,BB,Low,jonjohnson@robinson.org,(895)799-7337,24/7 (international),True,False,False
PHARM-0036,"Alvarado, Brooks and Ward Pharma",India,Wendychester,Generic Essential Drugs,units,145854,338533,7.13,6,5000,True,2-8°C,MHRA UK,True,False,87.5,75.7,N/A,N/A,Net 30,A,Medium,peter75@wallace.net,318-823-6536x89082,9 AM - 6 PM IST,False,False,True
PHARM-0037,"Simpson, Wilson and Henderson Life Sciences",Denmark,Josephtown,Cold Chain Logistics Services,service,0,0,17.0,40,0,False,15-25°C,"CDSCO Approved, US-FDA Approved, ISO 13485",False,True,74.7,79.9,N/A,N/A,Advance payment,A,Medium,daniel17@collins-allison.info,450.541.0432x842,24/7 (international),False,False,True
PHARM-0038,"Walker, Jackson and Burke Healthcare",China,North Kathleen,Active Pharmaceutical Ingredients (API),kg,76635,127325,2079.88,20,5000,False,15-25°C,"WHO-GMP, ISO 13485",False,True,81.7,87.7,99.0%,7 days,LC at sight,BBB,Medium,bkline@green.com,(887)794-6309x71459,24/7 (international),True,False,False
PHARM-0039,York and Sons Life Sciences,Ireland,South Victoriashire,Finished Antibiotics,units,394872,969171,40.59,43,1000,True,2-8°C,"TGA Australia, WHO-GMP",True,True,93.2,75.2,N/A,N/A,Net 60,AAA,Low,melissa11@kim.com,(446)936-2594x120,24/7 (international),True,False,True
PHARM-0040,"Knight, Carroll and Castro Biotech",South Korea,New William,Vaccines,doses,7870,21120,516.3,37,10000,True,2-8°C,MHRA UK,True,False,71.1,86.7,N/A,N/A,LC at sight,AAA,Medium,sara04@kim-blair.com,+1-758-221-3944x639,24/7 (international),True,False,False
PHARM-0041,"Copeland, Brown and Ford Pharma",Vietnam,East Rogerborough,Finished Antibiotics,units,152759,306672,5.48,21,1000,True,2-8°C,"MHRA UK, TGA Australia",False,False,92.5,87.4,N/A,N/A,LC at sight,BB,Low,kristina21@salazar.com,833-456-4810,24/7 (international),False,True,False
PHARM-0042,"Garcia, Williams and Turner Laboratories",India,Dannyland,Oncology Drugs,doses,1027,3081,28614.63,3,10000,False,15-25°C,EU-GMP,True,True,70.3,77.3,N/A,N/A,Net 60,BBB,Low,ustevens@warner.com,(241)961-7715x1678,9 AM - 6 PM IST,False,False,False
PHARM-0043,George-Gallegos Pharma,China,Josephside,Finished Antibiotics,units,476804,1257198,7.97,30,5000,False,15-25°C,US-FDA Approved,True,True,81.5,76.1,N/A,N/A,Net 30,BBB,Medium,aaronwebb@perry-george.com,467.679.2775,24/7 (international),False,False,True
PHARM-0044,White-White Healthcare,Ireland,New Jasonstad,Respiratory Medicines,units,214859,352904,188.98,37,10000,False,15-25°C,"US-FDA Approved, EU-GMP",True,True,77.7,86.2,N/A,N/A,LC at sight,AA,High,jack55@willis-mcdonald.com,507.643.5844x863,24/7 (international),True,False,False
PHARM-0045,May-Parker Biotech,India,Andersonport,Generic Essential Drugs,units,276029,688445,4.99,7,1000,False,15-25°C,US-FDA Approved,True,True,79.7,76.8,N/A,N/A,Net 45,AA,High,vvazquez@strong.com,311-811-0053,9 AM - 6 PM IST,True,False,True
PHARM-0046,Parker-Warren Healthcare,Denmark,East Samanthashire,Pain Relief Medications,units,430443,915061,21.1,45,500,False,15-25°C,"TGA Australia, WHO-GMP, MHRA UK",False,True,74.9,77.0,N/A,N/A,Net 60,A,Medium,barrettalyssa@underwood-watson.org,520.352.3702,24/7 (international),True,False,False
PHARM-0047,Clark and Sons Life Sciences,China,Lake Mary,Generic Essential Drugs,units,472730,951165,5.27,14,10000,True,2-8°C,WHO-GMP,True,True,96.6,85.7,N/A,N/A,Net 60,AA,Medium,ihansen@baker-maddox.net,592-225-0298,24/7 (international),True,False,False
PHARM-0048,Fuller Inc Biotech,Belgium,Burchchester,Oncology Drugs,doses,3081,5802,35179.9,24,10000,False,15-25°C,ISO 13485,False,True,86.7,75.0,N/A,N/A,Net 60,BBB,Medium,stephensonthomas@blanchard.com,483.272.1922,24/7 (international),False,False,True
PHARM-0049,Dudley Inc Life Sciences,Japan,South Veronicaland,Finished Cardiac Drugs,units,389391,844466,66.55,44,1000,True,2-8°C,CDSCO Approved,True,True,83.2,89.2,N/A,N/A,Advance payment,AA,Low,carol86@ray.com,605-860-7611,24/7 (international),False,False,True
PHARM-0050,Huff and Sons Healthcare,China,Burkehaven,Active Pharmaceutical Ingredients (API),kg,91614,222450,787.68,22,1000,True,2-8°C,EU-GMP,True,False,77.3,91.7,98.9%,9 days,Net 30,A,Low,bharrington@brown-hart.net,212-513-5909x074,24/7 (international),False,False,True
PHARM-0051,Smith Inc Pharma,China,Port Meagan,Active Pharmaceutical Ingredients (API),kg,34444,80965,1635.6,17,10000,False,15-25°C,"ISO 13485, MHRA UK",True,False,78.7,84.2,99.3%,10 days,Advance payment,A,Medium,eric91@henderson.com,(685)791-6622x67086,24/7 (international),True,False,True
PHARM-0052,"Garcia, Parks and Howard Pharma",South Korea,Clementsport,Active Pharmaceutical Ingredients (API),kg,68092,179125,2450.36,43,500,True,2-8°C,"MHRA UK, US-FDA Approved",True,False,88.3,81.4,99.0%,7 days,Net 45,BB,Medium,zrobinson@castro.com,001-462-910-1790x507,24/7 (international),True,False,False
PHARM-0053,"Johnson, Mclaughlin and Reese Healthcare",India,South Matthewton,Finished Diabetes Medications,units,208284,435640,504.35,4,10000,True,2-8°C,TGA Australia,True,True,88.1,79.5,N/A,N/A,LC at sight,AAA,High,zsanchez@wilson.org,001-565-308-1939x782,9 AM - 6 PM IST,True,False,True
PHARM-0054,Munoz Inc Biotech,India,Cowanburgh,Respiratory Medicines,units,94039,252451,243.47,4,1000,True,2-8°C,ISO 13485,True,True,95.8,96.0,N/A,N/A,Net 60,BBB,High,tyler98@gregory-diaz.com,858-227-2562,9 AM - 6 PM IST,True,False,False
PHARM-0055,Bell-Pitts Biotech,Denmark,South James,Respiratory Medicines,units,471002,1098040,339.92,40,5000,True,2-8°C,"WHO-GMP, TGA Australia, EU-GMP",True,True,75.9,96.1,N/A,N/A,Net 30,AAA,High,mortondennis@carter.com,202-940-5253x578,24/7 (international),False,False,False
PHARM-0056,Hill-Wilkinson Biotech,UK,Alextown,Respiratory Medicines,units,86227,212485,275.84,25,1000,False,15-25°C,MHRA UK,True,True,98.0,75.3,N/A,N/A,Net 30,BBB,Low,josephperry@foster.com,(922)261-5511x7940,24/7 (international),False,False,False
PHARM-0057,"Espinoza, Mccarthy and Patterson Laboratories",USA,Port Chad,Respiratory Medicines,units,293237,815224,99.48,22,1000,False,15-25°C,"CDSCO Approved, US-FDA Approved, TGA Australia",True,True,71.2,81.2,N/A,N/A,Net 60,AAA,Low,jeffrey64@carter-alexander.com,(309)434-7185x140,24/7 (international),True,False,True
PHARM-0058,Bennett and Sons Pharma,Ireland,Ryanberg,Finished Diabetes Medications,units,207561,442167,120.93,38,10000,True,2-8°C,"WHO-GMP, MHRA UK",True,True,89.6,83.1,N/A,N/A,Net 45,BBB,Low,jamesschmitt@cannon-pratt.info,408.390.7288x471,24/7 (international),False,False,False
PHARM-0059,"Harrington, Ortiz and Bauer Biotech",China,New Matthew,Respiratory Medicines,units,377311,912551,81.26,25,500,True,2-8°C,EU-GMP,False,True,97.8,97.7,N/A,N/A,Net 60,A,High,burtonmaria@carpenter.com,259-605-8213x348,24/7 (international),False,False,True
PHARM-0060,Wilson-Phillips Biotech,South Korea,North Beverly,Vaccines,doses,9138,24328,440.37,27,1000,True,2-8°C,"US-FDA Approved, EU-GMP",False,False,89.8,80.6,N/A,N/A,Net 45,BBB,Medium,andre59@clark-lopez.biz,5373947199,24/7 (international),True,False,True
PHARM-0061,Larsen Ltd Healthcare,India,Adamchester,Finished Diabetes Medications,units,374736,1120592,729.57,8,5000,True,2-8°C,"MHRA UK, WHO-GMP",False,True,97.9,95.9,N/A,N/A,Net 45,A,Medium,xschultz@bell.com,979-356-5303,9 AM - 6 PM IST,True,False,False
PHARM-0062,Cervantes-Bell Healthcare,Japan,Lake Amanda,Active Pharmaceutical Ingredients (API),kg,90011,172505,1433.21,27,500,False,15-25°C,EU-GMP,False,True,96.1,80.9,99.3%,4 days,Net 45,A,High,itaylor@adams.com,361-666-6995x218,24/7 (international),False,False,True
PHARM-0063,Wade and Sons Biotech,India,Palmerfurt,Pain Relief Medications,units,382317,919448,10.61,6,500,True,2-8°C,"ISO 13485, WHO-GMP",False,False,99.0,93.6,N/A,N/A,Net 30,AA,Medium,juliawright@potter.net,8065012037,9 AM - 6 PM IST,False,False,True
PHARM-0064,"Combs, Larson and Humphrey Pharma",India,Lake Tracychester,Pain Relief Medications,units,497076,947183,16.34,6,500,False,15-25°C,"WHO-GMP, MHRA UK",True,False,72.0,80.6,N/A,N/A,Net 30,A,Low,mcampbell@edwards-wong.com,(265)655-8355x783,9 AM - 6 PM IST,True,False,False
PHARM-0065,"Dixon, Walker and Michael Biotech",India,Lake Cheryl,Oncology Drugs,doses,3715,5951,16161.94,4,500,False,15-25°C,"EU-GMP, CDSCO Approved",False,False,95.6,90.3,N/A,N/A,Net 60,BB,Medium,fbradford@wright.org,+1-224-629-4185,9 AM - 6 PM IST,False,False,True
PHARM-0066,"Love, Hernandez and Mullen Biotech",India,Thomaschester,Pain Relief Medications,units,350051,688170,1.82,6,500,False,15-25°C,CDSCO Approved,False,True,97.9,81.9,N/A,N/A,Net 30,AAA,Low,oross@robertson-morrison.com,987.998.5666,9 AM - 6 PM IST,False,False,False
PHARM-0067,Moore-Houston Pharma,China,Port Sarah,Finished Cardiac Drugs,units,51358,143556,44.33,16,500,False,15-25°C,CDSCO Approved,True,True,78.0,77.0,N/A,N/A,Net 30,AAA,Low,jessica10@williams-cherry.com,885.452.8419x267,24/7 (international),False,False,True
PHARM-0068,Martinez Group Life Sciences,China,North Stevemouth,Finished Antibiotics,units,293063,447128,39.15,20,10000,True,2-8°C,"EU-GMP, CDSCO Approved",True,True,77.5,80.0,N/A,N/A,Net 45,BBB,High,lgraham@price.com,+1-578-766-4811x564,24/7 (international),False,False,True
PHARM-0069,"Hudson, Wilson and Riley Life Sciences",India,Jessicabury,Active Pharmaceutical Ingredients (API),kg,82697,226404,4939.91,10,10000,True,2-8°C,"EU-GMP, CDSCO Approved",True,True,86.5,88.2,99.3%,6 days,Advance payment,AA,Low,hdaniel@holmes-white.com,728-948-4884x5815,9 AM - 6 PM IST,False,False,True
PHARM-0070,Hayden Ltd Pharma,India,East Andrewstad,Active Pharmaceutical Ingredients (API),kg,61640,177583,2660.94,10,5000,False,15-25°C,"EU-GMP, CDSCO Approved",True,True,97.3,83.8,98.9%,9 days,Net 30,A,Medium,margaret54@oneill.com,454-689-1322,9 AM - 6 PM IST,False,False,False
PHARM-0071,Bass-Contreras Healthcare,Belgium,Lake Gail,Finished Cardiac Drugs,units,259440,542609,32.27,32,5000,True,2-8°C,EU-GMP,True,False,90.2,75.9,N/A,N/A,Net 45,AAA,High,fieldskristine@stevens.com,(200)213-0605,24/7 (international),False,True,False
PHARM-0072,"Jordan, Sullivan and Robinson Pharma",India,South Paulstad,Finished Diabetes Medications,units,57492,120035,216.88,3,10000,True,2-8°C,US-FDA Approved,True,False,75.2,92.0,N/A,N/A,Advance payment,AA,Medium,achang@brown.com,001-613-942-6052,9 AM - 6 PM IST,True,False,True
PHARM-0073,Hill-Crawford Healthcare,India,Lake Jessica,Pain Relief Medications,units,351965,601320,4.68,4,500,False,15-25°C,"CDSCO Approved, EU-GMP",False,True,96.4,80.6,N/A,N/A,Advance payment,BBB,Medium,amanda14@crawford.net,840.877.6634x8225,9 AM - 6 PM IST,True,False,True
PHARM-0074,"Thomas, Gibson and Robles Pharma",Switzerland,Timothymouth,Finished Diabetes Medications,units,440403,858129,1106.6,42,10000,True,2-8°C,"TGA Australia, US-FDA Approved, MHRA UK",True,False,86.9,90.1,N/A,N/A,Net 45,AAA,Low,joneschelsea@baker-moore.com,363-908-9917x36893,24/7 (international),False,False,False
PHARM-0075,Mcclure-Mendoza Biotech,France,Ayalastad,Generic Essential Drugs,units,394318,955426,6.15,44,5000,True,2-8°C,CDSCO Approved,True,True,86.3,79.9,N/A,N/A,LC at sight,AAA,High,stevenjoseph@larsen-flores.com,001-727-358-7990,24/7 (international),False,False,True
PHARM-0076,"Wagner, Castillo and Stevenson Healthcare",India,Robertshire,Pain Relief Medications,units,170889,402636,19.82,3,5000,True,2-8°C,ISO 13485,False,True,90.0,77.7,N/A,N/A,Net 30,AAA,Low,brittanyreyes@martinez.info,285-412-6601x298,9 AM - 6 PM IST,True,False,False
PHARM-0077,Thomas-Fischer Life Sciences,UK,North Kimberlytown,Finished Diabetes Medications,units,464532,1015688,657.8,31,1000,False,15-25°C,"WHO-GMP, CDSCO Approved",False,True,72.4,97.5,N/A,N/A,LC at sight,AA,Low,kbolton@wood.com,(479)996-6290,24/7 (international),False,False,True
PHARM-0078,Mckinney Inc Biotech,China,South Jesse,Generic Essential Drugs,units,197042,400789,6.39,22,5000,False,15-25°C,"MHRA UK, CDSCO Approved",False,True,97.1,78.1,N/A,N/A,LC at sight,BB,High,turnerchelsea@mcmahon.net,2137239474,24/7 (international),True,False,False
PHARM-0079,Wong and Sons Life Sciences,China,Underwoodside,Finished Antibiotics,units,264051,610961,28.35,30,10000,True,2-8°C,CDSCO Approved,True,True,70.2,77.0,N/A,N/A,Net 60,A,Medium,joshuarodriguez@torres.org,001-345-260-9285x8152,24/7 (international),False,True,True
PHARM-0080,"Lindsey, Pineda and Boone Pharma",India,New Jamiestad,Cold Chain Logistics Services,service,0,0,19.82,6,0,True,2-8°C,EU-GMP,True,True,71.7,97.5,N/A,N/A,Net 45,AAA,Medium,yclark@arroyo.com,(603)255-4115,9 AM - 6 PM IST,False,False,False
PHARM-0081,Myers LLC Laboratories,UK,Lake Javierhaven,Cold Chain Logistics Services,service,0,0,27.96,28,0,False,15-25°C,"ISO 13485, CDSCO Approved",False,False,81.2,95.4,N/A,N/A,LC at sight,BB,Low,aaronconley@white.com,2114012931,24/7 (international),True,False,True
PHARM-0082,Peters-Holmes Pharma,Ireland,West Martin,Generic Essential Drugs,units,415391,680065,8.87,35,5000,False,15-25°C,WHO-GMP,True,True,77.2,84.5,N/A,N/A,Net 45,AA,Low,uallen@thomas-griffin.com,487-207-7504,24/7 (international),True,False,False
PHARM-0083,Roberts-Camacho Healthcare,Israel,Lake James,Respiratory Medicines,units,77066,217891,169.38,37,10000,False,15-25°C,US-FDA Approved,True,False,80.5,90.5,N/A,N/A,Net 45,AA,High,robertsantiago@smith.info,(385)384-3398,24/7 (international),False,False,True
PHARM-0084,"Hudson, Davis and Edwards Biotech",Japan,Lake Joshua,Pain Relief Medications,units,128717,225766,9.83,44,1000,False,15-25°C,"MHRA UK, EU-GMP",True,True,87.3,96.3,N/A,N/A,Net 30,AA,High,allison35@adams.com,001-410-356-9365x13511,24/7 (international),True,False,True
PHARM-0085,Becker-James Laboratories,India,Annetteborough,Cold Chain Logistics Services,service,0,0,17.05,8,0,True,2-8°C,EU-GMP,False,True,72.8,86.7,N/A,N/A,Net 60,BB,Low,christine29@alexander.org,3969839073,9 AM - 6 PM IST,False,False,False
PHARM-0086,"Stewart, Sanders and Oconnor Laboratories",India,Smithtown,Respiratory Medicines,units,468991,1173286,78.37,6,5000,False,15-25°C,"WHO-GMP, CDSCO Approved",True,False,74.2,90.2,N/A,N/A,Net 60,A,Medium,riggsalison@odom-perry.com,(654)805-5997,9 AM - 6 PM IST,True,False,True
PHARM-0087,Cantu-Holden Laboratories,Switzerland,Paulmouth,Active Pharmaceutical Ingredients (API),kg,21425,32424,3488.55,28,500,False,15-25°C,"ISO 13485, CDSCO Approved, WHO-GMP",False,False,92.0,89.5,99.6%,5 days,LC at sight,AAA,Low,wendyschroeder@schwartz-kim.org,383-353-5734x359,24/7 (international),True,False,True
PHARM-0088,Smith-Mcintosh Healthcare,China,Lake Kristen,Respiratory Medicines,units,468102,972422,87.44,21,1000,True,2-8°C,"MHRA UK, WHO-GMP",True,True,88.9,86.6,N/A,N/A,Net 60,BB,Medium,kevin96@watson-johnson.com,(840)795-1432x4668,24/7 (international),True,False,True
PHARM-0089,Gregory Group Biotech,China,Port Jessicaburgh,Cold Chain Logistics Services,service,0,0,20.16,30,0,False,15-25°C,"TGA Australia, ISO 13485",True,True,88.8,81.9,N/A,N/A,Net 60,BB,High,burnsjason@smith.com,001-283-871-5054,24/7 (international),False,False,False
